en,ru,de,es,fr
a,один,ein,un,une
abandon,оставлять,verlassen,abandonar,abandonner
ability,способность,fähigkeit,capacidad,capacité
able,способный,fähig,poder,capable
abortion,аборт,abtreibung,aborto,avortement
about,о,über,acerca de,sur
above,выше,über,encima,au dessus
abroad,за границей,im ausland,en el extranjero,à l'étranger
absence,отсутствие,abwesenheit,ausencia,absence
absolute,абсолютный,absolute,absoluto,absolu
absolutely,абсолютно,unbedingt,absolutamente,absolument
absorb,поглощать,absorbieren,absorber,absorber
abuse,злоупотребление,missbrauch,abuso,abuser de
academic,академический,akademisch,académico,académique
accept,принимать,akzeptieren,aceptar,acceptez
access,доступ,zugriff,acceso,accès
accident,авария,unfall,accidente,accident
accompany,сопровождать,begleiten,acompañar,accompagner
accomplish,выполнять,erreichen,realizar,accomplir
according,по,nach,conforme,selon
account,счет,konto,cuenta,compte
accurate,точный,genau,preciso,précis
accuse,обвинять,beschuldigen,acusar,accuser
achieve,достигать,erreichen,lograr,atteindre
achievement,достижение,leistung,logro,réussite
acid,кислота,acid,ácido,acide
acknowledge,признавать,bestätigen,reconocer,reconnaître
acquire,приобретать,erwerben,adquirir,acquérir
across,через,über,a través de,à travers
act,акт,handlung,acto,acte
action,действие,aktion,acción,action
active,деятельный,aktiv,activo,actif
activist,активист,aktivist,activista,activiste
activity,деятельность,aktivität,actividad,activité
actor,актер,darsteller,actor,acteur
actress,актриса,darstellerin,actriz,actrice
actual,фактический,tatsächlich,real,réel
actually,фактически,tatsächlich,actualmente,réellement
ad,объявление,anzeige,anuncio,un d
adapt,адаптировать,anpassen,adaptar,adapter
add,добавлять,hinzufügen,añadir,ajouter
addition,дополнение,zusatz,adición,une addition
additional,дополнительный,zusätzlich,adicional,supplémentaire
address,адрес,adresse,dirección,adresse
adequate,адекватный,angemessene,adecuado,adéquat
adjust,регулировать,einstellen,ajustar,régler
adjustment,настройка,einstellung,ajuste,ajustement
administration,администрация,verwaltung,administración,administration
administrator,администратор,administrator,administrador,administrateur
admire,любоваться,bewundern,admirar,admirer
admission,прием,eintritt,admisión,admission
admit,признавать,eingestehen,admitir,admettre
adolescent,подросток,jugendlicher,adolescente,adolescent
adopt,принимать,adoptieren,adoptar,adopter
adult,взрослый,erwachsene,adulto,adulte
advance,предварительный,vorsprung,avanzar,avance
advanced,передовой,fortgeschrittene,avanzado,avancée
advantage,преимущество,vorteil,ventaja,avantage
adventure,приключение,abenteuer,aventuras,aventure
advertising,реклама,werbung,publicidad,la publicité
advice,консультация,rat,consejo,conseil
advise,консультировать,beraten,aconsejar,conseiller
adviser,советник,berater,asesor,conseiller
advocate,адвокат,befürworten,abogado,avocat
affair,дело,affäre,asunto,affaire
affect,влиять,beeinflussen,afectar,affecter
afford,давать,gewähren,permitirse,offrir
afraid,испуганный,angst,asustado,peur
african,африканский,afrikanisch,africano,africain
african-american,афроамериканский,afroamerikaner,afroamericano,afro-américain
after,после,nach,nach,nach
afternoon,время после полудня,nachmittag,tarde,après midi
again,снова,nochmals,de nuevo,encore
against,против,gegen,en contra,contre
age,возраст,alter,años,âge
agency,агентство,agentur,agencia,agence
agenda,повестка дня,agenda,agenda,ordre du jour
agent,агент,agent,agente,agent
aggressive,агрессивный,aggressiv,agresivo,agressif
ago,назад,vor,hace,depuis
agree,соглашаться,zustimmen,de acuerdo,se mettre d'accord
agreement,соглашение,zustimmung,acuerdo,accord
agricultural,сельскохозяйственный,landwirtschaftlich,agrícola,agricole
ah,ах,ah,ah,ah
ahead,впереди,voraus,adelante,devant
aid,поддержка,hilfe,ayuda,aide
aide,помощник,berater,ayudante,aide
aids,спид,aids,sida,sida
aim,цель,ziel,objetivo,objectif
air,воздух,luft,aire,air
aircraft,самолет,flugzeug,aeronave,avion
airline,авиакомпания,fluggesellschaft,aerolínea,compagnie aérienne
airport,аэропорт,flughafen,aeropuerto,aéroport
album,альбом,album,álbum,album
alcohol,алкоголь,alkohol,alcohol,de l'alcool
alive,живой,am leben,viva,vivant
all,все,alles,alles,alles
alliance,альянс,allianz,alianza,alliance
